# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1706797405.61790 -0.120959 -0.018058 0.891719 -0.000483 0.025251 0.168964 0.985299 0.0000042143 -0.0000000680 -0.0000198208 0.0000030431 0.0000030263 0.0004002046 0.0025589385 -0.0000068114 0.0000089698 0.0025571138 -0.0000006820 0.0025614646
1706797405.68444 -0.122687 -0.016800 0.890073 -0.000076 0.025961 0.169989 0.985104 0.0000042508 -0.0000000990 -0.0000203492 0.0000030420 0.0000034872 0.0004001225 0.0025586364 -0.0000068472 0.0000090243 0.0025567318 -0.0000004031 0.0025598462
1706797405.75098 -0.123852 -0.015683 0.890438 0.000103 0.026226 0.170906 0.984938 0.0000042412 -0.0000001100 -0.0000204162 0.0000030386 0.0000036362 0.0004000936 0.0025583624 -0.0000068444 0.0000090651 0.0025564399 -0.0000002009 0.0025584569
1706797405.81749 -0.124956 -0.014914 0.891378 0.000608 0.026713 0.171597 0.984805 0.0000042575 -0.0000001395 -0.0000207217 0.0000030425 0.0000040860 0.0004000374 0.0025581568 -0.0000068325 0.0000091045 0.0025561719 -0.0000000297 0.0025570976
1706797405.88402 -0.126672 -0.014335 0.891392 0.000667 0.027082 0.172309 0.984670 0.0000042827 -0.0000001563 -0.0000210958 0.0000030391 0.0000042404 0.0003999806 0.0025580155 -0.0000068204 0.0000091311 0.0025559545 0.0000001493 0.0025555743
1706797405.95049 -0.127740 -0.013684 0.893565 0.001085 0.027198 0.172442 0.984644 0.0000042648 -0.0000001730 -0.0000210599 0.0000030408 0.0000044967 0.0003999652 0.0025578928 -0.0000067998 0.0000091532 0.0025558508 0.0000002527 0.0025543569
1706797406.01708 -0.128975 -0.012911 0.894876 0.002012 0.027200 0.172661 0.984604 0.0000042420 -0.0000002164 -0.0000209697 0.0000030528 0.0000052610 0.0003999473 0.0025578237 -0.0000067638 0.0000091791 0.0025557320 0.0000003171 0.0025530792
1706797406.08360 -0.130060 -0.011900 0.896622 0.002462 0.027292 0.172564 0.984617 0.0000042268 -0.0000002391 -0.0000209488 0.0000030592 0.0000056366 0.0003999215 0.0025577531 -0.0000067206 0.0000091927 0.0025556529 0.0000003637 0.0025520410
1706797406.15014 -0.131047 -0.011019 0.900003 0.002501 0.027580 0.172645 0.984595 0.0000042358 -0.0000002451 -0.0000211448 0.0000030550 0.0000056233 0.0003998923 0.0025577074 -0.0000066521 0.0000091811 0.0025556298 0.0000004019 0.0025509831
1706797406.21679 -0.131876 -0.010184 0.903944 0.002495 0.027042 0.172851 0.984574 0.0000041804 -0.0000002381 -0.0000207212 0.0000030483 0.0000055132 0.0003999283 0.0025576974 -0.0000066015 0.0000091643 0.0025555918 0.0000004323 0.0025499213
1706797406.28331 -0.132235 -0.009898 0.907985 0.002044 0.027505 0.172932 0.984548 0.0000042201 -0.0000002260 -0.0000211910 0.0000030332 0.0000051178 0.0003998750 0.0025576956 -0.0000065511 0.0000091330 0.0025555574 0.0000004547 0.0025489489
1706797406.34988 -0.132702 -0.009819 0.910048 0.002915 0.027594 0.173133 0.984508 0.0000042105 -0.0000002714 -0.0000211865 0.0000030505 0.0000059163 0.0003998425 0.0025577115 -0.0000065318 0.0000091105 0.0025554753 0.0000004593 0.0025480808
1706797406.41644 -0.133170 -0.009948 0.911674 0.003415 0.027377 0.173632 0.984424 0.0000041805 -0.0000002925 -0.0000209837 0.0000030579 0.0000063086 0.0003998404 0.0025577303 -0.0000065212 0.0000090767 0.0025554307 0.0000004663 0.0025473099
1706797406.48307 -0.133222 -0.009840 0.913818 0.004045 0.027532 0.173811 0.984386 0.0000041682 -0.0000003234 -0.0000209413 0.0000030744 0.0000068514 0.0003998239 0.0025577663 -0.0000065350 0.0000090340 0.0025553813 0.0000004686 0.0025466632
1706797406.54954 -0.132953 -0.009785 0.916004 0.003673 0.026895 0.173774 0.984411 0.0000041113 -0.0000002977 -0.0000204747 0.0000030602 0.0000064726 0.0003998812 0.0025577854 -0.0000065355 0.0000089785 0.0025553145 0.0000004560 0.0025461172
1706797406.61614 -0.132514 -0.010014 0.917672 0.003251 0.026953 0.173336 0.984489 0.0000041162 -0.0000002849 -0.0000205944 0.0000030472 0.0000061545 0.0003998735 0.0025577849 -0.0000065330 0.0000089130 0.0025552028 0.0000004444 0.0025455822
1706797406.68272 -0.131711 -0.010400 0.918838 0.002966 0.026732 0.173120 0.984533 0.0000040933 -0.0000002719 -0.0000204423 0.0000030373 0.0000059101 0.0003998924 0.0025577660 -0.0000065477 0.0000088426 0.0025550736 0.0000004349 0.0025451175
1706797406.74931 -0.131331 -0.011015 0.919093 0.002503 0.026899 0.172388 0.984659 0.0000041138 -0.0000002625 -0.0000207053 0.0000030261 0.0000056152 0.0003998685 0.0025577179 -0.0000065634 0.0000087656 0.0025549350 0.0000004307 0.0025446865
1706797406.81595 -0.130532 -0.011918 0.919321 0.002306 0.026769 0.171768 0.984771 0.0000040969 -0.0000002522 -0.0000206072 0.0000030167 0.0000054149 0.0003998782 0.0025576482 -0.0000066005 0.0000086854 0.0025548032 0.0000004188 0.0025443018
1706797406.88269 -0.129676 -0.012845 0.920373 0.001884 0.026752 0.170818 0.984938 0.0000040898 -0.0000002327 -0.0000205987 0.0000030024 0.0000050100 0.0003998817 0.0025575567 -0.0000066415 0.0000086001 0.0025546732 0.0000004043 0.0025439459
1706797406.94922 -0.129020 -0.013889 0.921084 0.001821 0.026923 0.170170 0.985045 0.0000041047 -0.0000002340 -0.0000207955 0.0000029994 0.0000049758 0.0003998520 0.0025574414 -0.0000066850 0.0000085232 0.0025545211 0.0000003870 0.0025436687
1706797407.01579 -0.128213 -0.015159 0.920971 0.001334 0.026881 0.169868 0.985099 0.0000041098 -0.0000002150 -0.0000208930 0.0000029870 0.0000045852 0.0003998442 0.0025573186 -0.0000067324 0.0000084413 0.0025543197 0.0000003723 0.0025434058
1706797407.08239 -0.127135 -0.016287 0.921281 0.000192 0.026929 0.169305 0.985196 0.0000041247 -0.0000001663 -0.0000210785 0.0000029657 0.0000036278 0.0003998325 0.0025571629 -0.0000067785 0.0000083707 0.0025541096 0.0000003581 0.0025431767
1706797407.14907 -0.126371 -0.017250 0.922215 0.000112 0.026697 0.169078 0.985241 0.0000041013 -0.0000001621 -0.0000209007 0.0000029621 0.0000035577 0.0003998460 0.0025570422 -0.0000068208 0.0000082955 0.0025539350 0.0000003487 0.0025429398
1706797407.21570 -0.125383 -0.018276 0.922979 0.000024 0.026811 0.169176 0.985221 0.0000041058 -0.0000001607 -0.0000209768 0.0000029595 0.0000035074 0.0003998313 0.0025569322 -0.0000068652 0.0000082334 0.0025537893 0.0000003407 0.0025427385
1706797407.28231 -0.124439 -0.019383 0.923226 -0.000571 0.027105 0.168974 0.985248 0.0000041437 -0.0000001406 -0.0000213623 0.0000029509 0.0000030716 0.0003997890 0.0025568125 -0.0000069023 0.0000081782 0.0025535657 0.0000003344 0.0025425614
1706797407.34895 -0.123378 -0.020483 0.923769 -0.000789 0.026397 0.169313 0.985208 0.0000040822 -0.0000001209 -0.0000208162 0.0000029444 0.0000027768 0.0003998431 0.0025567215 -0.0000069564 0.0000081340 0.0025533752 0.0000003242 0.0025423967
1706797407.41554 -0.122184 -0.021332 0.924390 -0.000577 0.026400 0.169816 0.985122 0.0000040667 -0.0000001309 -0.0000206983 0.0000029452 0.0000029987 0.0003998468 0.0025566518 -0.0000070054 0.0000081026 0.0025532164 0.0000003107 0.0025422541
1706797407.48215 -0.121418 -0.022206 0.924503 -0.000182 0.026848 0.170559 0.984982 0.0000040979 -0.0000001541 -0.0000210171 0.0000029504 0.0000034102 0.0003998006 0.0025565877 -0.0000070410 0.0000080868 0.0025530452 0.0000002998 0.0025421287
1706797407.54887 -0.121415 -0.022880 0.924764 -0.000364 0.026207 0.171634 0.984812 0.0000040499 -0.0000001409 -0.0000205841 0.0000029446 0.0000032350 0.0003998444 0.0025565589 -0.0000070753 0.0000080675 0.0025529420 0.0000002924 0.0025419946
1706797407.61556 -0.121188 -0.023384 0.925579 -0.000182 0.026880 0.172852 0.984581 0.0000040996 -0.0000001576 -0.0000210736 0.0000029482 0.0000034804 0.0003997844 0.0025565375 -0.0000070942 0.0000080640 0.0025528814 0.0000002896 0.0025418823
1706797407.68228 -0.121350 -0.023899 0.926702 -0.000375 0.027075 0.173974 0.984378 0.0000041229 -0.0000001539 -0.0000213059 0.0000029459 0.0000033825 0.0003997556 0.0025565399 -0.0000071132 0.0000080641 0.0025528211 0.0000002890 0.0025417724
1706797407.74898 -0.121423 -0.024278 0.927981 -0.001008 0.027363 0.174946 0.984197 0.0000041516 -0.0000001344 -0.0000215834 0.0000029398 0.0000029901 0.0003997296 0.0025565572 -0.0000071323 0.0000080676 0.0025528113 0.0000002892 0.0025416679
1706797407.81559 -0.120942 -0.024971 0.929710 -0.001560 0.027209 0.175649 0.984076 0.0000041381 -0.0000001028 -0.0000214721 0.0000029322 0.0000024425 0.0003997443 0.0025565897 -0.0000071516 0.0000080777 0.0025528314 0.0000002836 0.0025415709
1706797407.88237 -0.121032 -0.025635 0.931410 -0.001393 0.027279 0.176214 0.983973 0.0000041420 -0.0000001127 -0.0000215202 0.0000029335 0.0000026298 0.0003997350 0.0025566546 -0.0000071862 0.0000080850 0.0025527956 0.0000002847 0.0025414695
1706797407.94896 -0.120930 -0.026041 0.932984 -0.001438 0.026998 0.176567 0.983917 0.0000041119 -0.0000001092 -0.0000212533 0.0000029334 0.0000025960 0.0003997589 0.0025567201 -0.0000072247 0.0000081028 0.0025528061 0.0000002851 0.0025413834
1706797408.01565 -0.121016 -0.026486 0.934458 -0.001218 0.027439 0.176650 0.983891 0.0000041465 -0.0000001244 -0.0000215837 0.0000029367 0.0000028406 0.0003997179 0.0025567743 -0.0000072405 0.0000081122 0.0025527915 0.0000002884 0.0025413002
1706797408.08242 -0.121009 -0.027102 0.935831 -0.002169 0.027517 0.176585 0.983898 0.0000041710 -0.0000000810 -0.0000218202 0.0000029257 0.0000020351 0.0003997029 0.0025568202 -0.0000072535 0.0000081093 0.0025527796 0.0000002954 0.0025412091
1706797408.14911 -0.120757 -0.027835 0.937182 -0.002347 0.027721 0.175982 0.984000 0.0000041888 -0.0000000717 -0.0000219942 0.0000029230 0.0000018651 0.0003996818 0.0025568510 -0.0000072753 0.0000081051 0.0025527456 0.0000002960 0.0025411295
1706797408.21582 -0.120898 -0.028279 0.938603 -0.001386 0.028361 0.175263 0.984112 0.0000042291 -0.0000001225 -0.0000223659 0.0000029321 0.0000027402 0.0003996281 0.0025568618 -0.0000072943 0.0000080909 0.0025526865 0.0000003017 0.0025410520
1706797408.28252 -0.121298 -0.028340 0.939734 -0.001816 0.028346 0.174131 0.984313 0.0000042340 -0.0000001032 -0.0000224229 0.0000029264 0.0000023926 0.0003996251 0.0025568350 -0.0000073000 0.0000080613 0.0025526570 0.0000003087 0.0025409713
1706797408.34916 -0.121507 -0.028802 0.940695 -0.001522 0.029249 0.172749 0.984530 0.0000043124 -0.0000001287 -0.0000231145 0.0000029310 0.0000027536 0.0003995337 0.0025567570 -0.0000072775 0.0000080222 0.0025526213 0.0000003132 0.0025408921
1706797408.41579 -0.121551 -0.029396 0.941043 -0.001125 0.029720 0.171146 0.984797 0.0000043555 -0.0000001580 -0.0000234913 0.0000029361 0.0000031928 0.0003994811 0.0025566601 -0.0000072826 0.0000079604 0.0025525015 0.0000003298 0.0025408042
1706797408.48248 -0.121328 -0.029672 0.940937 -0.001698 0.030443 0.168862 0.985168 0.0000044315 -0.0000001361 -0.0000241386 0.0000029292 0.0000027418 0.0003994047 0.0025564925 -0.0000072720 0.0000078840 0.0025523065 0.0000003404 0.0025407156
1706797408.54913 -0.121135 -0.029908 0.940654 -0.001380 0.030206 0.166820 0.985524 0.0000044026 -0.0000001466 -0.0000239225 0.0000029309 0.0000029339 0.0003994227 0.0025562899 -0.0000072548 0.0000077997 0.0025521051 0.0000003488 0.0025406254
1706797408.61577 -0.120729 -0.030111 0.940453 -0.001475 0.029889 0.164833 0.985867 0.0000043650 -0.0000001325 -0.0000236373 0.0000029258 0.0000027350 0.0003994548 0.0025560658 -0.0000072431 0.0000077130 0.0025519203 0.0000003548 0.0025405358
1706797408.68238 -0.120139 -0.030769 0.939956 -0.000757 0.030070 0.162938 0.986178 0.0000043694 -0.0000001677 -0.0000236996 0.0000029323 0.0000033106 0.0003994313 0.0025558251 -0.0000072324 0.0000076248 0.0025516803 0.0000003601 0.0025404464
1706797408.74901 -0.119716 -0.031077 0.939185 -0.001804 0.028619 0.161199 0.986505 0.0000042447 -0.0000000999 -0.0000226692 0.0000029148 0.0000022656 0.0003995605 0.0025555938 -0.0000072581 0.0000075422 0.0025514497 0.0000003617 0.0025403617
1706797408.81566 -0.119070 -0.031545 0.938319 -0.000960 0.029537 0.159556 0.986746 0.0000043165 -0.0000001489 -0.0000233174 0.0000029230 0.0000030324 0.0003994674 0.0025553348 -0.0000072533 0.0000074634 0.0025511840 0.0000003678 0.0025402738
1706797408.88226 -0.118516 -0.031724 0.936777 -0.001214 0.028766 0.158095 0.987004 0.0000042373 -0.0000001282 -0.0000226679 0.0000029160 0.0000027368 0.0003995392 0.0025550858 -0.0000072614 0.0000073890 0.0025509355 0.0000003723 0.0025401892
1706797408.94894 -0.118166 -0.032045 0.935006 -0.001301 0.029399 0.156644 0.987217 0.0000043055 -0.0000001346 -0.0000232879 0.0000029146 0.0000027655 0.0003994627 0.0025548148 -0.0000072469 0.0000073187 0.0025506502 0.0000003856 0.0025400954
1706797409.01555 -0.117663 -0.032042 0.933279 -0.001335 0.028824 0.155430 0.987425 0.0000042480 -0.0000001230 -0.0000228317 0.0000029095 0.0000026143 0.0003995115 0.0025545590 -0.0000072373 0.0000072579 0.0025504012 0.0000003914 0.0025400059
1706797409.08230 -0.117291 -0.031825 0.932024 -0.001608 0.028313 0.154252 0.987624 0.0000041994 -0.0000001034 -0.0000224456 0.0000029041 0.0000023085 0.0003995518 0.0025542985 -0.0000072083 0.0000072132 0.0025501745 0.0000004005 0.0025399106
1706797409.14888 -0.116941 -0.031395 0.930751 -0.001480 0.028046 0.153467 0.987755 0.0000041703 -0.0000001042 -0.0000222261 0.0000029016 0.0000023342 0.0003995712 0.0025540661 -0.0000071748 0.0000071697 0.0025499749 0.0000004113 0.0025398210
1706797409.21553 -0.116637 -0.030831 0.929705 -0.001893 0.027358 0.152528 0.987919 0.0000041057 -0.0000000751 -0.0000216865 0.0000028936 0.0000018569 0.0003996298 0.0025538427 -0.0000071365 0.0000071368 0.0025498060 0.0000004208 0.0025397331
1706797409.28200 -0.116507 -0.030229 0.928850 -0.001239 0.027422 0.151788 0.988032 0.0000041038 -0.0000001072 -0.0000217113 0.0000028967 0.0000024251 0.0003996193 0.0025536486 -0.0000071009 0.0000071045 0.0025496193 0.0000004423 0.0025396400
1706797409.34860 -0.116250 -0.029751 0.928491 -0.001197 0.026481 0.150795 0.988210 0.0000040099 -0.0000000964 -0.0000208864 0.0000028931 0.0000023001 0.0003997022 0.0025534611 -0.0000070622 0.0000070864 0.0025494680 0.0000004613 0.0025395503
