# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1706797408.682376146316528,0.01022,0.00073,0.00005,0.00975,0.00128,0.00670,0.02875
1706797408.749014616012573,0.00556,0.00024,0.00008,0.00397,0.00003,0.00218,0.01207
1706797408.815656661987305,0.00367,0.00033,0.00009,0.01194,0.00000,0.00538,0.02141
1706797408.882261753082275,0.00749,0.00020,0.00002,0.00464,0.00000,0.00433,0.01668
1706797408.948935985565186,0.00715,0.00024,0.00003,0.00468,0.00000,0.00174,0.01384
1706797409.015550613403320,0.00520,0.00042,0.00023,0.01330,0.00035,0.00807,0.02758
1706797409.082295179367065,0.00629,0.00050,0.00003,0.00634,0.00018,0.00190,0.01524
1706797409.148883581161499,0.01149,0.00129,0.00009,0.00806,0.00019,0.00617,0.02728
1706797409.215533018112183,0.00825,0.00036,0.00006,0.00628,0.00000,0.01087,0.02582
1706797409.281997919082642,0.00731,0.00107,0.00007,0.01128,0.00000,0.00420,0.02392
1706797409.348601102828979,0.00650,0.00057,0.00030,0.00919,0.00173,0.00694,0.02523
1706797409.415183305740356,0.00767,0.00044,0.00004,0.01484,0.00050,0.01082,0.03432
1706797409.481816530227661,0.00430,0.00020,0.00002,0.01039,0.00145,0.00644,0.02278
1706797409.548464298248291,0.00752,0.00051,0.00003,0.01301,0.00005,0.00308,0.02419
1706797409.615026712417603,0.00951,0.00042,0.00002,0.01610,0.00000,0.00459,0.03064
1706797409.681705713272095,0.00778,0.00113,0.00007,0.00690,0.00000,0.00292,0.01880
1706797409.748330354690552,0.00606,0.00086,0.00003,0.01260,0.00000,0.00573,0.02528
1706797409.814939498901367,0.00730,0.00037,0.00012,0.00994,0.00074,0.00500,0.02347
1706797409.881577491760254,0.00484,0.00029,0.00003,0.00395,0.00018,0.00191,0.01119
1706797409.948091030120850,0.00636,0.00072,0.00005,0.01066,0.00018,0.00235,0.02032
1706797410.014712572097778,0.00541,0.00023,0.00001,0.01159,0.00000,0.00674,0.02399
1706797410.081330299377441,0.00576,0.00050,0.00001,0.00547,0.00000,0.00295,0.01470
1706797410.148006439208984,0.00708,0.00027,0.00016,0.00403,0.00027,0.00174,0.01354
1706797410.214624643325806,0.00734,0.00032,0.00003,0.01294,0.00034,0.00203,0.02301
1706797410.281081914901733,0.00585,0.00036,0.00002,0.00786,0.00024,0.00440,0.01874
1706797410.347866296768188,0.01120,0.00119,0.00007,0.01056,0.00004,0.00189,0.02497
1706797410.414550304412842,0.00925,0.00052,0.00003,0.01889,0.00000,0.00540,0.03409
1706797410.481241703033447,0.01095,0.00101,0.00008,0.01555,0.00000,0.00788,0.03547
1706797410.547857761383057,0.00583,0.00063,0.00002,0.01629,0.00000,0.00631,0.02907
1706797410.614497900009155,0.00736,0.00023,0.00007,0.00688,0.00036,0.00532,0.02022
1706797410.681130170822144,0.00529,0.00022,0.00002,0.01171,0.00079,0.00577,0.02380
1706797410.747789144515991,0.00480,0.00038,0.00002,0.00723,0.00040,0.00332,0.01615
1706797410.814413785934448,0.00468,0.00059,0.00003,0.00751,0.00000,0.00367,0.01649
1706797410.880999565124512,0.00388,0.00031,0.00007,0.00559,0.00000,0.00334,0.01320
1706797410.947625637054443,0.00779,0.00048,0.00026,0.01253,0.00160,0.00248,0.02514
1706797411.014193058013916,0.00824,0.00023,0.00002,0.00473,0.00017,0.00494,0.01832
1706797411.080851078033447,0.01127,0.00062,0.00003,0.01525,0.00048,0.00387,0.03153
1706797411.147849559783936,0.00682,0.00021,0.00001,0.00407,0.00004,0.00192,0.01307
1706797411.214454650878906,0.00730,0.00023,0.00006,0.01248,0.00000,0.00238,0.02246
1706797411.281089544296265,0.01580,0.00042,0.00038,0.00797,0.00000,0.00930,0.03388
1706797411.347705602645874,0.00877,0.00037,0.00010,0.00312,0.00000,0.00189,0.01425
1706797411.414288759231567,0.00909,0.00042,0.00058,0.00979,0.01092,0.00432,0.03514
1706797411.480926752090454,0.00630,0.00064,0.00418,0.00805,0.00725,0.00223,0.02864
1706797411.547554016113281,0.00540,0.00075,0.00151,0.00657,0.00238,0.00439,0.02101
1706797411.614212512969971,0.00601,0.00038,0.00060,0.01419,0.00020,0.00900,0.03040
1706797411.680873870849609,0.01201,0.00020,0.00034,0.00418,0.00005,0.00986,0.02664
1706797411.747595787048340,0.01121,0.00065,0.00040,0.00348,0.00551,0.00312,0.02437
1706797411.814266920089722,0.00401,0.00032,0.00019,0.00306,0.00107,0.00219,0.01084
1706797411.881012439727783,0.00584,0.00023,0.00010,0.00280,0.00249,0.00290,0.01436
1706797411.947669506072998,0.00787,0.00086,0.00092,0.00355,0.00110,0.00900,0.02330
1706797412.014346361160278,0.00829,0.00059,0.00109,0.00581,0.00797,0.00291,0.02666
1706797412.080984592437744,0.00423,0.00038,0.00323,0.01057,0.00719,0.00427,0.02987
1706797412.147627830505371,0.00455,0.00077,0.00013,0.01346,0.00000,0.00753,0.02644
1706797412.214246511459351,0.01249,0.00034,0.01730,0.00888,0.01456,0.00739,0.06097
1706797412.280866384506226,0.00705,0.00111,0.00175,0.01857,0.01103,0.00434,0.04385
1706797412.347486257553101,0.00489,0.00050,0.00019,0.00732,0.00003,0.00395,0.01687
1706797412.414122581481934,0.00769,0.00046,0.02071,0.01761,0.00652,0.00533,0.05832
1706797412.480693578720093,0.00458,0.00049,0.00004,0.00851,0.00185,0.00218,0.01765
1706797412.547310829162598,0.00505,0.00043,0.00239,0.01730,0.00007,0.01013,0.03537
1706797412.613929510116577,0.00439,0.00050,0.00339,0.01346,0.00166,0.00604,0.02943
1706797412.680531978607178,0.00609,0.00042,0.01004,0.01534,0.00000,0.00580,0.03769
1706797412.747115373611450,0.00840,0.00108,0.01008,0.02877,0.00005,0.00193,0.05031
1706797412.813713788986206,0.00532,0.00040,0.00089,0.00769,0.00270,0.00395,0.02095
1706797412.880304336547852,0.00998,0.00059,0.00014,0.01436,0.00003,0.00191,0.02701
1706797412.946897268295288,0.00843,0.00046,0.01589,0.01646,0.00509,0.00339,0.04972
1706797413.013500452041626,0.00671,0.00027,0.00411,0.00748,0.00068,0.00613,0.02538
1706797413.080116033554077,0.01050,0.00085,0.00019,0.02035,0.00050,0.00353,0.03591
1706797413.146703243255615,0.00323,0.00022,0.00013,0.00492,0.00129,0.00238,0.01217
1706797413.213305473327637,0.00695,0.00056,0.01699,0.01599,0.00615,0.00333,0.04999
1706797413.279919147491455,0.00381,0.00031,0.00017,0.00587,0.00006,0.00225,0.01248
1706797413.346513986587524,0.00578,0.00047,0.00274,0.00909,0.00053,0.00433,0.02294
1706797413.413102865219116,0.00494,0.00058,0.00086,0.01285,0.00161,0.00299,0.02383
1706797413.479693412780762,0.00772,0.00030,0.00044,0.01200,0.00236,0.00209,0.02491
1706797413.546317338943481,0.00585,0.00023,0.00640,0.01713,0.00529,0.00420,0.03910
1706797413.612962961196899,0.00798,0.00115,0.00053,0.01413,0.00000,0.01090,0.03468
1706797413.679756641387939,0.00429,0.00027,0.00065,0.00707,0.00611,0.00489,0.02327
1706797413.746723413467407,0.00575,0.00023,0.02091,0.01350,0.00364,0.00396,0.04800
1706797413.813399791717529,0.00478,0.00023,0.00353,0.01210,0.00000,0.00386,0.02450
1706797413.880147457122803,0.00622,0.00051,0.00069,0.00689,0.00025,0.00468,0.01924
1706797413.947036266326904,0.00936,0.00024,0.00262,0.00523,0.00158,0.00398,0.02301
1706797414.013897657394409,0.00787,0.00028,0.00434,0.01393,0.01049,0.00844,0.04534
1706797414.080569028854370,0.01460,0.00081,0.00058,0.00783,0.00001,0.00216,0.02600
1706797414.147242784500122,0.00511,0.00025,0.00292,0.00866,0.00361,0.00606,0.02661
1706797414.213876962661743,0.01549,0.00077,0.00022,0.02285,0.00262,0.00749,0.04944
1706797414.280484914779663,0.00804,0.00042,0.00120,0.01291,0.00271,0.00697,0.03225
1706797414.347073078155518,0.00668,0.00051,0.00015,0.01238,0.00516,0.00730,0.03219
1706797414.413684844970703,0.01209,0.00042,0.00021,0.01283,0.00005,0.00310,0.02871
1706797414.480338573455811,0.01234,0.00095,0.00490,0.01399,0.00187,0.00294,0.03698
1706797414.547068357467651,0.00744,0.00035,0.01071,0.00812,0.00973,0.00195,0.03831
1706797414.613782644271851,0.00414,0.00036,0.00072,0.01646,0.00050,0.00426,0.02643
1706797414.680446386337280,0.00709,0.00033,0.00031,0.00529,0.00075,0.00211,0.01587
1706797414.747142791748047,0.00721,0.00021,0.00024,0.00270,0.00123,0.00328,0.01487
1706797414.813883781433105,0.00374,0.00041,0.00002,0.00700,0.00491,0.00182,0.01791
1706797414.880551099777222,0.01037,0.00070,0.00027,0.00705,0.00086,0.00218,0.02142
1706797414.947274446487427,0.00776,0.00024,0.00081,0.00492,0.02593,0.00779,0.04746
1706797415.013979673385620,0.00512,0.00035,0.00035,0.01306,0.00010,0.01061,0.02959
1706797415.080692052841187,0.01045,0.00104,0.00008,0.01603,0.00732,0.00756,0.04249
1706797415.147401094436646,0.00513,0.00022,0.00006,0.00396,0.00023,0.00200,0.01160
1706797415.214112758636475,0.00576,0.00042,0.00184,0.00984,0.01780,0.00548,0.04115
1706797415.280816555023193,0.00777,0.00071,0.00471,0.01062,0.00306,0.00345,0.03031
1706797415.347548484802246,0.00652,0.00024,0.00222,0.00603,0.00005,0.00204,0.01710
1706797415.414268016815186,0.00515,0.00050,0.01622,0.01194,0.00444,0.00533,0.04358
1706797415.481161594390869,0.00872,0.00104,0.00355,0.01282,0.00769,0.00264,0.03646
1706797415.547843694686890,0.00491,0.00021,0.00899,0.00851,0.00505,0.00325,0.03091
1706797415.614526510238647,0.00372,0.00022,0.00449,0.00514,0.00849,0.00198,0.02404
1706797415.681172370910645,0.00345,0.00035,0.00045,0.01092,0.00025,0.00185,0.01728
1706797415.747858762741089,0.00722,0.00032,0.00033,0.01217,0.00000,0.00784,0.02788
1706797415.814515590667725,0.00349,0.00022,0.00007,0.00653,0.00000,0.00302,0.01335
1706797415.881137371063232,0.00731,0.00020,0.00060,0.01092,0.00000,0.00223,0.02127
1706797415.947772264480591,0.00703,0.00025,0.00196,0.00870,0.00014,0.00422,0.02230
1706797416.014405727386475,0.00621,0.00070,0.00152,0.01024,0.00000,0.00226,0.02093
1706797416.081050395965576,0.01090,0.00029,0.00013,0.01178,0.00178,0.00341,0.02828
1706797416.147676944732666,0.00924,0.00108,0.00467,0.00366,0.00005,0.00398,0.02269
1706797416.214342832565308,0.00796,0.00061,0.01638,0.00764,0.02980,0.00773,0.07011
1706797416.280989646911621,0.00702,0.00140,0.00177,0.01387,0.00149,0.00685,0.03240
1706797416.347605943679810,0.01404,0.00068,0.00323,0.00921,0.00001,0.00493,0.03211
1706797416.414236307144165,0.01317,0.00141,0.00084,0.01269,0.00724,0.00431,0.03967
1706797416.480860471725464,0.00423,0.00043,0.00117,0.00687,0.00554,0.00542,0.02365
1706797416.547500848770142,0.00505,0.00035,0.00041,0.01125,0.00011,0.00315,0.02031
1706797416.614177227020264,0.00409,0.00038,0.00010,0.01115,0.00000,0.00468,0.02040
1706797416.680818557739258,0.01144,0.00084,0.00484,0.01409,0.00184,0.00182,0.03486
1706797416.747486591339111,0.00430,0.00022,0.00117,0.00785,0.00346,0.00501,0.02201
1706797416.814143419265747,0.00575,0.00052,0.00014,0.00800,0.01889,0.00377,0.03707
1706797416.880865812301636,0.01325,0.00102,0.00165,0.01354,0.00022,0.00914,0.03881
1706797416.947510004043579,0.00835,0.00022,0.00035,0.00436,0.00002,0.00239,0.01569
1706797417.014163255691528,0.00737,0.00051,0.00406,0.01298,0.01729,0.00285,0.04506
1706797417.080906867980957,0.00809,0.00095,0.01188,0.01080,0.01477,0.00214,0.04863
1706797417.147542238235474,0.00487,0.00044,0.00117,0.01215,0.00016,0.00708,0.02588
1706797417.214237213134766,0.00409,0.00026,0.00026,0.00567,0.00227,0.00594,0.01849
1706797417.280881404876709,0.00858,0.00105,0.00283,0.01699,0.00000,0.01378,0.04324
1706797417.347533226013184,0.00582,0.00060,0.00339,0.00848,0.00237,0.00210,0.02276
1706797417.414173841476440,0.00545,0.00038,0.00179,0.00935,0.00000,0.00198,0.01896
1706797417.480823516845703,0.01118,0.00049,0.00101,0.01468,0.00000,0.00586,0.03321
1706797417.547474145889282,0.00612,0.00035,0.00247,0.01155,0.01795,0.00757,0.04600
1706797417.614109754562378,0.01612,0.00032,0.00099,0.00860,0.00025,0.00698,0.03325
1706797417.680763006210327,0.00551,0.00040,0.00418,0.00734,0.00023,0.00315,0.02080
1706797417.747381687164307,0.01209,0.00067,0.00046,0.01108,0.00006,0.00424,0.02860
1706797417.814038753509521,0.00506,0.00048,0.00054,0.01290,0.02057,0.00444,0.04398
1706797417.880772590637207,0.00751,0.00071,0.00215,0.00808,0.00673,0.00381,0.02898
1706797417.947406291961670,0.00392,0.00024,0.00074,0.00895,0.00160,0.00605,0.02149
1706797418.014032125473022,0.01007,0.00034,0.00155,0.01671,0.00154,0.00517,0.03539
1706797418.080682277679443,0.00443,0.00046,0.00694,0.01300,0.00694,0.00361,0.03539
1706797418.147319555282593,0.00509,0.00043,0.00045,0.01032,0.00000,0.00865,0.02494
1706797418.213961601257324,0.00883,0.00045,0.00331,0.01826,0.00286,0.00587,0.03958
1706797418.280586004257202,0.00371,0.00041,0.00022,0.01321,0.00096,0.00213,0.02063
1706797418.347207307815552,0.00667,0.00045,0.00553,0.00875,0.00411,0.00374,0.02925
1706797418.413831233978271,0.00957,0.00073,0.01026,0.01857,0.00000,0.00658,0.04571
1706797418.480460643768311,0.00651,0.00036,0.00491,0.00966,0.00276,0.01248,0.03668
1706797418.547097682952881,0.00923,0.00048,0.00089,0.01404,0.00000,0.00211,0.02674
1706797418.613762617111206,0.00872,0.00084,0.00341,0.01136,0.00000,0.00340,0.02773
1706797418.680413246154785,0.01047,0.00088,0.00449,0.01426,0.00057,0.00434,0.03501
1706797418.747063159942627,0.00590,0.00039,0.00047,0.01331,0.02069,0.00428,0.04504
1706797418.813712120056152,0.00497,0.00038,0.00025,0.00934,0.00008,0.00382,0.01884
1706797418.880339384078979,0.00401,0.00028,0.00103,0.00845,0.00199,0.00661,0.02237
1706797418.946968793869019,0.00743,0.00106,0.00201,0.01514,0.01543,0.00459,0.04567
1706797419.013601303100586,0.01060,0.00091,0.00116,0.00467,0.00000,0.00321,0.02055
1706797419.080221652984619,0.00721,0.00040,0.00079,0.01377,0.00000,0.00370,0.02587
1706797419.146838426589966,0.00434,0.00034,0.00283,0.01221,0.00121,0.01113,0.03208
1706797419.213485479354858,0.01673,0.00050,0.00130,0.01617,0.01525,0.00462,0.05457
1706797419.280125379562378,0.00250,0.00028,0.00081,0.00563,0.00126,0.00327,0.01375
1706797419.346742153167725,0.00837,0.00039,0.00013,0.01584,0.00000,0.00531,0.03004
1706797419.413386106491089,0.00910,0.00117,0.01007,0.01655,0.00271,0.00356,0.04316
1706797419.480131149291992,0.00743,0.00041,0.00775,0.00978,0.00000,0.00433,0.02970
1706797419.547215461730957,0.00626,0.00040,0.00048,0.01280,0.00031,0.00553,0.02579
1706797419.614318847656250,0.00613,0.00025,0.00240,0.01865,0.00015,0.00592,0.03350
1706797419.681445121765137,0.01383,0.00038,0.00050,0.00997,0.00486,0.00696,0.03650
1706797419.748623132705688,0.00761,0.00022,0.00070,0.00805,0.00749,0.00428,0.02835
1706797419.815793514251709,0.00360,0.00028,0.00395,0.00699,0.00000,0.00339,0.01821
1706797419.883130311965942,0.01462,0.00109,0.00126,0.00608,0.00001,0.00175,0.02480
1706797419.950329065322876,0.00997,0.00114,0.01640,0.02168,0.00405,0.00283,0.05607
1706797420.017502307891846,0.00466,0.00032,0.00417,0.01443,0.00007,0.00338,0.02702
1706797420.084663152694702,0.00743,0.00039,0.00049,0.01117,0.00009,0.00557,0.02514
1706797420.151879787445068,0.00599,0.00065,0.00860,0.00662,0.01463,0.00337,0.03987
1706797420.219083547592163,0.00842,0.00075,0.00124,0.01388,0.00408,0.00302,0.03139
1706797420.286292076110840,0.00729,0.00034,0.00045,0.01310,0.00447,0.00439,0.03004
1706797420.353499889373779,0.00812,0.00037,0.00045,0.00694,0.00008,0.00574,0.02170
1706797420.420717954635620,0.00442,0.00061,0.00051,0.01758,0.00000,0.00221,0.02535
1706797420.487882137298584,0.01105,0.00059,0.00060,0.00902,0.00573,0.00215,0.02915
1706797420.554592370986938,0.00642,0.00031,0.00025,0.00653,0.00000,0.00316,0.01668
1706797420.621296644210815,0.01389,0.00072,0.00059,0.00655,0.01582,0.00262,0.04020
1706797420.688014745712280,0.00609,0.00065,0.00086,0.01094,0.00006,0.00497,0.02357
1706797420.754719972610474,0.00823,0.00072,0.00055,0.00976,0.00578,0.00430,0.02934
1706797420.821427822113037,0.00977,0.00037,0.00459,0.01394,0.01138,0.00351,0.04356
1706797420.888137340545654,0.00763,0.00069,0.00050,0.00952,0.00016,0.01049,0.02900
1706797420.954842090606689,0.00709,0.00027,0.00089,0.01031,0.00118,0.00241,0.02215
1706797421.021549224853516,0.00499,0.00025,0.00189,0.01488,0.00001,0.00287,0.02490
1706797421.088261842727661,0.01169,0.00063,0.00029,0.01426,0.01274,0.00323,0.04283
1706797421.154974937438965,0.00921,0.00033,0.00152,0.00524,0.00021,0.00179,0.01830
1706797421.221676111221313,0.00689,0.00070,0.00061,0.00838,0.00005,0.00189,0.01853
1706797421.288388729095459,0.00446,0.00025,0.00010,0.00677,0.00316,0.00251,0.01725
1706797421.355095863342285,0.00807,0.00043,0.01005,0.00993,0.01595,0.00598,0.05041
1706797421.421799898147583,0.00645,0.00026,0.00041,0.00895,0.00000,0.00256,0.01863
1706797421.488511562347412,0.00831,0.00039,0.00030,0.00624,0.00000,0.00194,0.01718
1706797421.555223226547241,0.00582,0.00040,0.00026,0.01270,0.00546,0.00323,0.02787
1706797421.621929407119751,0.00568,0.00030,0.00885,0.01653,0.01482,0.00177,0.04795
1706797421.688639640808105,0.00605,0.00026,0.00012,0.01782,0.00116,0.00490,0.03032
1706797421.755343198776245,0.01232,0.00112,0.00009,0.02057,0.00000,0.00390,0.03800
1706797421.822047948837280,0.00439,0.00042,0.00039,0.00658,0.00001,0.00280,0.01458
1706797421.888746261596680,0.00483,0.00052,0.00046,0.00563,0.00825,0.00254,0.02221
1706797421.955446481704712,0.01351,0.00043,0.00009,0.00854,0.00000,0.00249,0.02507
1706797422.022144556045532,0.00643,0.00022,0.00007,0.01340,0.00205,0.00196,0.02413
1706797422.088841199874878,0.00997,0.00024,0.01565,0.01366,0.00181,0.00315,0.04448
1706797422.155546188354492,0.00346,0.00030,0.00021,0.00830,0.00000,0.00531,0.01760
1706797422.222240686416626,0.00813,0.00044,0.00050,0.02181,0.00000,0.00359,0.03447
1706797422.288937568664551,0.00747,0.00040,0.00136,0.00592,0.00000,0.00191,0.01706
1706797422.355628967285156,0.00558,0.00037,0.00013,0.01199,0.00129,0.00309,0.02245
1706797422.422324419021606,0.00857,0.00028,0.00031,0.02184,0.00103,0.01170,0.04372
1706797422.489022493362427,0.00334,0.00047,0.00108,0.01165,0.00273,0.00731,0.02659
1706797422.555739164352417,0.00530,0.00063,0.00146,0.03269,0.00026,0.01523,0.05558
